Date,Weekday numeric,,Open,High,Low,Close,Adj Close,Volume,,,,,
2/16/2021,3,,393.959991,394.170013,391.529999,392.299988,379.510681,50972400,,,,,
2/17/2021,4,,390.420013,392.660004,389.329987,392.390015,379.597748,52290600,,,,,
2/18/2021,5,,389.589996,391.519989,387.73999,390.720001,377.982147,59712800,,,,,
2/19/2021,6,,392.070007,392.380005,389.549988,390.029999,377.314667,83241000,,,,,
2/22/2021,2,,387.059998,389.619995,386.73999,387.029999,374.412476,67414200,,,,,
2/23/2021,3,,384.660004,388.950012,380.200012,387.5,374.867157,107284100,,,,,
2/24/2021,4,,386.329987,392.230011,385.269989,391.769989,378.997986,72433900,,,,,
2/25/2021,5,,390.410004,391.880005,380.779999,382.329987,369.865692,146670500,,,,,
2/26/2021,6,,384.350006,385.579987,378.230011,380.359985,367.95993,152701600,,,,,
3/1/2021,2,,385.589996,390.920013,380.570007,389.579987,376.879333,105348800,,,,,
3/2/2021,3,,389.820007,390.070007,386,386.540009,373.938477,79595300,,,,,
3/3/2021,4,,385.790009,386.829987,381.309998,381.420013,368.985382,119940200,,,,,
3/4/2021,5,,381.220001,384,371.880005,376.700012,364.41925,183433000,,,,,
3/5/2021,6,,380.459991,384.76001,372.640015,383.630005,371.123352,152039600,,,,,
3/8/2021,2,,384.660004,387.679993,381.420013,381.720001,369.275604,123149200,,,,,
3/9/2021,3,,385.850006,389.910004,385.309998,387.170013,374.547974,113633600,,,,,
3/10/2021,4,,389.690002,391.399994,388.170013,389.579987,376.879333,109899400,,,,,
3/11/2021,5,,392.230011,395.649994,391.73999,393.529999,380.700592,86245000,,,,,
3/12/2021,6,,392.070007,394.209991,391.200012,394.059998,381.213287,64653600,,,,,
3/15/2021,2,,394.329987,396.690002,392.029999,396.410004,383.486694,73427200,,,,,
3/16/2021,3,,397.070007,397.829987,395.079987,395.910004,383.002991,73722500,,,,,
3/17/2021,4,,394.529999,398.119995,393.299988,397.26001,384.30899,97959300,,,,,
3/18/2021,5,,394.480011,396.720001,390.75,391.480011,378.717407,115349100,,,,,
3/19/2021,6,,389.880005,391.570007,387.149994,389.480011,378.016663,113624500,,,,,
3/22/2021,2,,390.029999,394.070007,389.970001,392.589996,381.035095,73778600,,,,,
3/23/2021,3,,391.910004,393.459991,388.660004,389.5,378.036072,90686600,,,,,
3/24/2021,4,,391,392.75,387.470001,387.519989,376.114349,97588600,,,,,
3/25/2021,5,,385.980011,390.549988,383.899994,389.700012,378.230194,116128600,,,,,
3/26/2021,6,,390.929993,396.410004,390.290009,395.980011,384.325348,114409100,,,,,
3/29/2021,2,,394.399994,396.75,392.809998,395.779999,384.131256,108107600,,,,,
3/30/2021,3,,394.420013,395.450012,393.019989,394.730011,383.112152,76262200,,,,,
3/31/2021,4,,395.339996,398,395.309998,396.329987,384.665039,112734200,,,,,
4/1/2021,5,,398.399994,400.670013,398.179993,400.609985,388.819092,99682900,,,,,
4/5/2021,2,,403.459991,406.940002,403.380005,406.359985,394.399841,91684800,,,,,
4/6/2021,3,,405.76001,407.23999,405.399994,406.119995,394.166901,62021000,,,,,
4/7/2021,4,,405.940002,406.959991,405.450012,406.589996,394.623077,55836300,,,,,
4/8/2021,5,,407.929993,408.579987,406.929993,408.519989,396.496216,57863100,,,,,
4/9/2021,6,,408.390015,411.670013,408.26001,411.48999,399.378845,61104600,,,,,
4/12/2021,2,,410.850006,411.929993,410.200012,411.640015,399.524475,56704900,,,,,
4/13/2021,3,,411.529999,413.529999,411.119995,412.859985,400.708527,56551000,,,,,
4/14/2021,4,,412.829987,413.959991,410.869995,411.450012,399.340057,61659900,,,,,
4/15/2021,5,,413.73999,416.160004,413.690002,415.869995,403.629883,60229800,,,,,
4/16/2021,6,,417.25,417.910004,415.730011,417.26001,404.979034,82037300,,,,,
4/19/2021,2,,416.26001,416.73999,413.790009,415.209991,402.989349,78498500,,,,,
4/20/2021,3,,413.910004,415.089996,410.589996,412.170013,400.038849,81851800,,,,,
4/21/2021,4,,411.51001,416.290009,411.359985,416.070007,403.824097,66793000,,,,,
4/22/2021,5,,415.890015,416.779999,411.130005,412.269989,400.135925,97582800,,,,,
4/23/2021,6,,412.869995,418.25,412.790009,416.73999,404.474365,73209200,,,,,
4/26/2021,2,,417.440002,418.220001,416.809998,417.609985,405.318756,52182400,,,,,
4/27/2021,3,,417.929993,418.140015,416.299988,417.519989,405.231384,51303100,,,,,
4/28/2021,4,,417.809998,419.01001,416.899994,417.399994,405.114868,51238900,,,,,
4/29/2021,5,,420.320007,420.720001,416.440002,420.059998,407.696594,78544300,,,,,
4/30/2021,6,,417.630005,418.540009,416.339996,417.299988,405.017853,85527000,,,,,
5/3/2021,2,,419.429993,419.839996,417.670013,418.200012,405.891388,68128300,,,,,
5/4/2021,3,,416.070007,416.600006,411.670013,415.619995,403.387299,101591200,,,,,
5/5/2021,4,,417.380005,417.630005,415.149994,415.75,403.513489,60162200,,,,,
5/6/2021,5,,415.829987,419.209991,413.679993,419.070007,406.735779,74321400,,,,,
5/7/2021,6,,419.890015,422.820007,419.160004,422.119995,409.695984,67733800,,,,,
5/10/2021,2,,422.5,422.73999,417.809998,417.940002,405.639069,81852400,,,,,
5/11/2021,3,,413.100006,415.269989,410.059998,414.209991,402.018768,116888000,,,,,
5/12/2021,4,,411.230011,412.589996,404,405.410004,393.477875,134811000,,,,,
5/13/2021,5,,407.070007,412.350006,407.019989,410.279999,398.204498,106394000,,,,,
5/14/2021,6,,413.209991,417.48999,413.179993,416.579987,404.31897,82201600,,,,,
5/17/2021,2,,415.390015,416.390015,413.359985,415.519989,403.290253,65129200,,,,,
5/18/2021,3,,415.799988,416.059998,411.769989,411.940002,399.815643,59810200,,,,,
5/19/2021,4,,406.920013,411.049988,405.329987,410.859985,398.767395,106467100,,,,,
5/20/2021,5,,411.799988,416.630005,411.670013,415.279999,403.057312,78022200,,,,,
5/21/2021,6,,416.869995,418.200012,414.450012,414.940002,402.727295,76578700,,,,,
5/24/2021,2,,417.339996,420.320007,417.079987,419.170013,406.832825,51376700,,,,,
5/25/2021,3,,420.329987,420.709991,417.619995,418.23999,405.930206,57451400,,,,,
5/26/2021,4,,418.869995,419.609985,417.76001,419.070007,406.735779,43088600,,,,,
5/27/2021,5,,420.170013,420.720001,418.98999,419.290009,406.949249,56707700,,,,,
5/28/2021,6,,420.970001,421.25,419.790009,420.040009,407.677216,58520200,,,,,
6/1/2021,3,,422.570007,422.720001,419.200012,419.670013,407.318115,54216600,,,,,
6/2/2021,4,,420.369995,421.230011,419.290009,420.329987,407.958649,49097100,,,,,
6/3/2021,5,,417.850006,419.98999,416.279999,418.769989,406.44458,58138800,,,,,
6/4/2021,6,,420.75,422.920013,418.839996,422.600006,410.161865,55938800,,,,,
6/7/2021,2,,422.589996,422.779999,421.190002,422.190002,409.763947,51555000,,,,,
6/8/2021,3,,423.109985,423.209991,420.320007,422.279999,409.851288,47134300,,,,,
6/9/2021,4,,423.179993,423.26001,421.410004,421.649994,409.239807,48436300,,,,,
6/10/2021,5,,422.959991,424.630005,421.549988,423.609985,411.14212,51020100,,,,,
